brand,model,type,strings,frets,price,mensuration,body,colour,descr,img
STERLING,CT30SSS-FRD-M1,Stratocaster,6,22,45.650,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/228.html,C:/Users/user/ct/da/lab1-parser/imgs/228.jpg
Prodipe,JMFTC80MABS,Stratocaster,6,22,33.480,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/229.html,C:/Users/user/ct/da/lab1-parser/imgs/229.jpg
Prodipe,JMFSTJUNIORBK,Stratocaster,6,22,17.460,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/230.html,C:/Users/user/ct/da/lab1-parser/imgs/230.jpg
Prodipe,JMFST83RASB,Stratocaster,6,22,29.530,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/231.html,C:/Users/user/ct/da/lab1-parser/imgs/231.jpg
STERLING,CT50HSS-VC-M2,Stratocaster,6,22,88.100,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/232.html,C:/Users/user/ct/da/lab1-parser/imgs/232.jpg
Prodipe,JMFTC80MASB,Stratocaster,6,22,33.480,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/233.html,C:/Users/user/ct/da/lab1-parser/imgs/233.jpg
STERLING,MARIPOSA-DGR-R2,Stratocaster,6,22,96.150,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/234.html,C:/Users/user/ct/da/lab1-parser/imgs/234.jpg
REDHILL,TLX300/RD,Stratocaster,6,22,20.988,25.512,ольха,красный,C:/Users/user/ct/da/lab1-parser/descrs/235.html,C:/Users/user/ct/da/lab1-parser/imgs/235.jpg
STERLING,CT50HSS-DBLS-M2,Stratocaster,6,22,88.100,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/236.html,C:/Users/user/ct/da/lab1-parser/imgs/236.jpg
Sire,S7 Vintage AWH,Stratocaster,6,22,79.990,25.5,ольха,белый,C:/Users/user/ct/da/lab1-parser/descrs/237.html,C:/Users/user/ct/da/lab1-parser/imgs/237.jpg
Prodipe,JMFST80RAVW,Stratocaster,6,22,33.480,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/238.html,C:/Users/user/ct/da/lab1-parser/imgs/238.jpg
STERLING,CT30SSS-DBL-M1,Stratocaster,6,22,45.650,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/239.html,C:/Users/user/ct/da/lab1-parser/imgs/239.jpg
Prodipe,JMFST83LHRACA,Stratocaster,6,22,27.660,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/240.html,C:/Users/user/ct/da/lab1-parser/imgs/240.jpg
S,by Solar AB4.7W,Stratocaster,7,22,35.990,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/241.html,C:/Users/user/ct/da/lab1-parser/imgs/241.jpg
Cort,CR100-WBAG-BK Classic Rock с чехлом,Stratocaster,6,22,33.480,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/242.html,C:/Users/user/ct/da/lab1-parser/imgs/242.jpg
Sire,S3 BK,Stratocaster,6,22,49.990,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/243.html,C:/Users/user/ct/da/lab1-parser/imgs/243.jpg
CORT,G200-BLK,Stratocaster,6,22,27.750,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/244.html,C:/Users/user/ct/da/lab1-parser/imgs/244.jpg
Solar,Guitars X1.6 Canibalismo,Stratocaster,6,22,219.990,24.7,болотный ясень,красный,C:/Users/user/ct/da/lab1-parser/descrs/245.html,C:/Users/user/ct/da/lab1-parser/imgs/245.jpg
Fernandes,Dragonfly-X MBK,Stratocaster,6,22,49.990,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/246.html,C:/Users/user/ct/da/lab1-parser/imgs/246.jpg
Magna,2000L-BK,Stratocaster,6,22,28.200,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/247.html,C:/Users/user/ct/da/lab1-parser/imgs/247.jpg
Sire,S3 VWH,Stratocaster,6,22,49.990,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/248.html,C:/Users/user/ct/da/lab1-parser/imgs/248.jpg
Solar,Guitars V2.6 Canibalismo+,Stratocaster,6,24,135.990,25.5,сунгкай,красный,C:/Users/user/ct/da/lab1-parser/descrs/249.html,C:/Users/user/ct/da/lab1-parser/imgs/249.jpg
Solar,Guitars A1.6 Vinter,Stratocaster,6,24,209.990,25.5,ольха,белый,C:/Users/user/ct/da/lab1-parser/descrs/250.html,C:/Users/user/ct/da/lab1-parser/imgs/250.jpg
