,price,descr
50,74.152,"Изящные, резкие, агрессивные - так можно охарактиризовать ""убийственные"" гитары из серии Reaper. Корпус из болотного ясеня в сочетании с топом из капа, ультратонким профилем грифа, и самого грифа, выполненного из клена/ореха с накладкой из черного дерева, вкупе обеспечивают резонирующую тональность и притягательный внешний вид. Широкий контур корпуса и ультра-доступная конструкция вклеенного грифа гарантируют комфорт при игре даже при самых требовательных настройках. На борту этого зверя установлены мощные звукосниматели Schecter Diamond Decimator, прорезающиеся сквозь микс, и достаточно универсальные практически для любой площадки, а так же бридж - Schecter Custom Hardtail, колки Schecter и контрастная фурнитура в черно-хромированном исполнении."
51,25.59,Электрогитара Clevan CTD-52.
52,50.048,"Электрогитара Schecter OMEN-6 уже давно стала наиболее популярной моделью среди относительно недорогих, но качественных инструментов. Она обладает непревзойденным по своей глубине и чистоте звуком с характерными обертонами, которые хорошо прослушиваются во всех диапазонах. Гриф гитары хорошо сбалансирован, лады прочно вмонтированы и отшлифованы. Колки очень надежные и прекрасно держат строй. Электрогитара имеет хорошую экранизацию, поэтому вы можете не переживать о появлении постороннего фона на динамиках. Инструмент прекрасно подойдет как для аккомпанирования в группе, так и для исполнения сольных партий."
53,29.625,Schecter SGR BANSHEE-6 - еще более качественный звук по доступной цене.
54,30.296,"Aria PE-350STD сочетает в себе эстетику 60-х, дополненную современными аспектами, инструмент, обеспечивающий удивительную универсальность и контроль, создающий сбалансированный по атаке, теплоте и чистоте звук. Модель PE-350STD характеризуется вклеенным грифом из окоуме с палисандровой накладкой, и корпусом типа Les Paul, выполненным из липы. У гитары 22 лада, длина мензуры – 628 мм. Установлены динамичные хамбакеры с магнитами Alnico-5, выдающие плавное с закругленными пиками звучание. Темброблок включает в себя два регулятора громкости, два регулятора тона и 3-х позиционный переключатель звукоснимателей. Струнодержатель – QH, бридж - оригинальный Aria SPT, фурнитура хромированная."
55,24.859,"Aria MAC-STD – шестиструнная электрогитара в корпусе цвета красный металлик типа суперстрат с двойным катавеем. Изящные изгибы корпуса вкупе с грамотным выбором звукоснимателей делают серию MAC-STD долговременным выбором. Ее можно назвать идеальным выбором как для начинающего гитариста, так и для продвинутого, и для концертирующего. Помимо варианта отделки красный металлик, данная гитара может быть представлена в черном цвете (BK), полуночном синем (MDB) и в белом цвете (PW)."
56,11.99,"Электрогитара ROCKET EG-1 SB предлагает детали и звук классического стратокастера по невероятно доступной цене. Этот высококачественный инструмент оснащен мощной конфигурацией звукоснимателей H/S/S, которая открывает огромный диапазон различных тонов, от рок до чистых. А корпус из ольхи отделан в традиционном цвете санберста. Комфорт при игре такой же потрясающий и поддерживается грифом из клена с палисандровой накладкой и 22 ладами среднего размера. Современный бридж завершает картину, обеспечивая стабильную настройку, независимо от того, как далеко вы заводите тремоло."
57,29.99,"Carry On Travel Pack White (amPlug) - гитарный набор из компактной трэвел-электрогитары Carry On, усилителя для наушников amPlug, ремня, записной книжки, ручки, анкерного ключа, чехла и трех медиаторов от компании Blackstar."
58,61.824,"Если вы подыскиваете инструмент с мощным звуком, то "
59,39.99,"Электрогитара Fernandes Revolver XX – недорогой суперстрат, рассчитанный, прежде всего, на исполнителей бескомпромиссного “Метала”. Длинные “рога”, реверсная голова, тонкий и широкий гриф, 24 лада, мощные хамбакеры. Гитара оборудована струнодержателем Tune-o-matic, стабильно и надёжно держащим строй. "
60,61.824,"Если вы подыскиваете инструмент с мощным звуком, то "
61,15.052,"Электрогитары серии STG представляют собой настоящую ценность. Они удобны в использовании, играть на них - одно удовольствие. Все гитары этой серии имеют корпус из цельных кусков ольхи, гриф - из кленового дерева с палисандровой накладкой. Модели Deluxe оснащены встроенной активной электроникой mid boost, идеально подходящей для исполнения сольных партий. В комплект электрогитары STG включено все, что вам понадобится для того, чтобы сразу начать играть. Серия имеет броский внешний вид и представлена широким рядом моделей."
62,28.796,"Бренд появился еще в семидесятых годах прошлого века. С самого начала существования инструменты этой торговой марки отличались высоким качеством, и с годами компания ни разу не изменила своим принципам. "
63,16.99,
64,88.416,"SCHECTER C-6 FR PRO - 6-струнная электрогитара, floyd Rose бридж. "
65,15.052,"Электрогитары серии STG представляют собой настоящую ценность. Они удобны в использовании, играть на них - одно удовольствие. Все гитары этой серии имеют корпус из цельных кусков ольхи, гриф - из кленового дерева с палисандровой накладкой. Модели Deluxe оснащены встроенной активной электроникой mid boost, идеально подходящей для исполнения сольных партий. В комплект электрогитары STG включено все, что вам понадобится для того, чтобы сразу начать играть. Серия имеет броский внешний вид и представлена широким рядом моделей."
66,66.976,"SCHECTER C-7 PRO AQB -  7 струнная электрогитара, 24 лада"
67,26.99,Fernandes LE-1Z
68,55.5,"KX300-Etched-EBG KX Series Электрогитара, черная, Cort"
69,119.99,Электрогитара Solar Guitars V2.6.
70,25.06,"Электрогитара, Clevan"
71,59.99,"Burny RLG60 VCS  электрогитара, форма корпуса Les Paul® Standard, H-H, Tune-o-matic, вишневый берст"
72,44.528,"C-6 Plus – это первые гитары начального уровня, носящие имя Schecter Diamond. Гитары этой коллекции не только превосходно выглядят, заимствовав гладкий контур А-6, но также сочетают в себе профессиональное качество, играбельность и тон, который будоражит и вдохновляет. "
73,11.81,"Homage - одна из самых современных фабрик в Китае, оборудованная по последнему слову техники. На фабрике используются  последние достижения науки для создания гитар, а также развиваются стандарты качества производства для того, чтобы потребителю попал в руки лучший товар. Homage производит качественную, ориентированную на потребителя продукцию, команда Homage верит, что превосходство в мастерстве и использование оригинальных методик - путь к успеху"
74,57.56,"Новая модель G280 Select является обновленным продолжением популярной G280DX, с добавленными перламутровой защитной накладкой, накладкой грифа из палисандра и хамбакером Voiced Tone VTH-77 с металлической крышкой для изысканного внешнего вида и высокого качества сборки. G280 Select разработана с наилучшей возможной играбельностью и звуковыми характеристиками. Корпус гитары изготовлен из ольхи с верхней частью из волнистого клена, звукосниматели HSS обеспечивают универсальное звучание, которое подойдет как для классических, так и для современных музыкальных жанров."
75,24.92,"Электрогитара Clevan CST-52 из липы и клена на начинающих и профессиональных музыкантов. 6-струнный инструмент с регуляторами громкости, тона и 5-позиционным переключателем. Шикарная колковая механика хромированная, на одну сторону. Гриф надежно держится и прикреплен на болтах."
76,29.42,Шестиструнная электрогитара CORT CR100 выполнена в классическом корпусе типа Les Paul с катавеем и резным кленовым верхом. Она входит в серию Classic Rock: производитель постарался сделать у гитар этой серии внешний вид и ощущение от игры на уровне самых востребованных винтажных инструментов «золотой эры». Отделка гитары – Cherry Red Sunburst. В основе каждый гитары этой серии лежат специально разработанные звукосниматели Powersound для настоящего аутентичного рокерского звука.
77,66.976,"SCHECTER C-7 PRO ARB - 7 струнная электрогитара, 24 лада"
78,16.99,Электрогитара тип корпуса - Explorer
79,12.99,"Encore E2SB  электрогитара, форма Telecaster,  цвет санберст"
80,47.18,"CR250-ATA Classic Rock Электрогитара, цвет янтарь, Cort"
81,85.5,"G&L Legacy сочетает в себе современные усовершенствования моделей S-500 и Comanche, разработанных Leo Fender, с классическими звукоснимателями Alnico V. Если ваш Святой Грааль - верный звук сингла Alnico с современными изысками и превосходным мастерством, Legacy станет отличным выбором."
82,15.052,"Aria STG-003SPL – шестиструнная электрогитара в корпусе типа «стратокастер». Она входит в серию STG, где представлены электрогитары с различными вариантами отделки. Цельный корпус выполнен из липы, гриф выполнен из клена, у него болтовое крепление, а накладка – морёный орех. У гитары стандартные 22 лада, а длина мензуры составляет 648 мм (25.5”)."
83,98.0,"Epiphone Les Paul Studio – это новый, полностью переработанный Studio, придуманный заново по подобию Gibson. Отныне, слово Studio обозначает не урезанную комплектацию, а надежную основу, на которой строятся все лес-полы Epiphone и Gibson, без каких-либо косметических излишеств – корпус  и гриф из высококачественного махагони, полноценный топ из клена и пара мощных, универсальных звукоснимателей."
84,13.13,Электрогитара Clevan CST-10 - 6-струнная. Еще одна модель из одноимённой серии. На корпусе гитары установлены 3 датчика Single и переключатель на 5 позиций. Красный корпус идеально сочетается с белой защитной накладкой. Механика колков покрыта хромом на 1 сторону. Бридж вида тремоло на 6 болтов. 
85,39.99,"Серия гитар Revolver – машина мечты, за основу которой взят классический дизайн с обновленными современными компонентами и гладким контурным корпусом, чтобы стать одной из самых увлекательных гитар. Благодаря  ольховому корпусу с двумя вырезами, кленовому грифу на болтах с палисандровой 24 ладовой накладкой, RXX(06) дает превосходный тон для соло и ритм гитаристов. Кроме того, эта гитара оборудована двумя хамбакерами, литыми колками и имеет ультра удобную форму корпуса.  "
